"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Bter_gene_ID"
1269.3521516971,-4.28597554309377,0.832444514882617,-3.94738085763845,7.90108147557776e-05,0.0236231277297747,"LOC100642611"
5532.11448055846,-4.06108808893576,0.816839360675743,-3.7474786797779,0.000178621013820631,0.0492860032384577,"LOC100642732"
28.9174915376755,-5.12733707527946,1.02211763338973,-4.03802550748649,5.39029930746917e-05,0.0174978627813345,"LOC100644527"
9430.6548338796,-3.31394567971974,0.528361008759023,-4.37947850306852,1.18963655723894e-05,0.00547084111760258,"LOC100645733"
1217.7504817081,-3.9367331927387,0.67714424184101,-4.33693888432744,1.44480776361702e-05,0.00637853731481642,"LOC100645842"
18084.6865505184,-5.66143767758481,0.827846385598404,-5.63080030145365,1.79375323605598e-08,1.97976544663498e-05,"LOC100646188"
6126.86504369741,-3.95029920103635,0.442138728717897,-6.67279070890612,2.50984208365857e-11,5.54022541546792e-08,"LOC100646546"
514.525891382688,-3.50205014443828,0.568148828807877,-4.40386394826902,1.06339647363938e-05,0.00510291603459036,"LOC100646728"
1102.50226057129,-4.62910830248201,0.685356883970971,-5.2952095285815,1.18880021418288e-07,8.7471919759576e-05,"LOC100646914"
65.390176597068,-3.22323766634048,0.592270200157859,-3.75375574484064,0.000174204621406949,0.0492860032384577,"LOC100646992"
12284.8438750359,-2.89887519497621,0.469102624444656,-4.04788866236717,5.16817183828387e-05,0.0173566010806456,"LOC100647241"
987.29925958064,-4.54045556244769,0.575771410667911,-6.14906453646364,7.79412631349138e-10,1.22891103031435e-06,"LOC100647803"
136.846002444756,-5.31409172295726,0.613517904399217,-7.03172913459111,2.03989523443222e-12,5.62858092560711e-09,"LOC100648002"
107.546437562618,-2.44779673426351,0.366825345336789,-3.94682851844456,7.9193234212346e-05,0.0236231277297747,"LOC100648148"
996.304271963925,-3.17327475617922,0.55904924714746,-3.88744778258503,0.000101303771223127,0.0294234137628857,"LOC100649869"
626.842402729941,-1.81642715755671,0.190524151745753,-4.28516358727162,1.82604773099834e-05,0.00746447733593657,"LOC100650206"
203.124427977574,-2.27815317278257,0.241212534249535,-5.29886714535454,1.16523377597308e-07,8.7471919759576e-05,"LOC100651761"
50.8089630424591,-5.65510443273484,0.737632391139102,-6.31087312413994,2.77465597194284e-10,5.10397966038885e-07,"LOC100652089"
114.86764999172,-7.26670463093995,0.839267781644011,-7.46687144198998,8.21239299367145e-14,7.21051925736757e-10,"LOC105666844"
173.828459448914,-3.16974075040456,0.481799024408542,-4.50341457845029,6.68702532427114e-06,0.00369023492519903,"LOC105666982"
152.397807678639,-3.20027245324446,0.409491853581148,-5.37317759560372,7.73610660365173e-08,6.56795450650032e-05,"LOC105666998"
48.2841764480691,-3.60847741524916,0.644558162270306,-4.04692325369274,5.18952465036971e-05,0.0173566010806456,"LOC105667071"
13789.0306783887,-3.8458335370294,0.521906322799076,-5.45276692906631,4.95920500928985e-08,4.97588597159382e-05,"LOC110119554"
10314.9705325391,-5.96624467200325,1.10896527148998,-4.47826888693342,7.52507800799772e-06,0.0039549659987748,"LOC110119724"
86.7917893364563,-6.10159702644262,0.692548512849969,-7.36641106259628,1.75282786570045e-13,7.21051925736757e-10,"LOC110120153"
43.3441824909779,-5.8512326599808,0.947194868370941,-5.12168384983369,3.02819293422293e-07,0.000208888533843866,"LOC110120223"
50.2623467910274,-4.70404585524355,0.881525329189308,-4.20185981343266,2.64731060037371e-05,0.00973945569877489,"LOC110120276"
